soil_type,region,environment,crop
clay,temperate,moderate,Potato
loamy,tropical,moderate,Banana
silty,tropical,cold,Grapes
loamy,tropical,cold,Rice
clay,tropical,moderate,Mustard
sandy,tropical,cold,Onion
clay,temperate,moderate,Potato
loamy,arid,cold,Soybean
sandy,subtropical,cold,Coffee
loamy,tropical,moderate,Banana
clay,subtropical,hot,Cabbage
sandy,tropical,cold,Onion
silty,temperate,hot,Groundnut
silty,temperate,moderate,Sugarcane
loamy,arid,moderate,Barley
silty,temperate,cold,Oats
loamy,subtropical,moderate,Cauliflower
loamy,arid,moderate,Barley
sandy,tropical,moderate,Tomato
peaty,subtropical,moderate,Chickpea
sandy,tropical,hot,Carrot
sandy,temperate,hot,Peas
sandy,temperate,cold,Sorghum
clay,temperate,moderate,Potato
silty,subtropical,hot,Sunflower
sandy,temperate,cold,Sorghum
clay,temperate,hot,Mango
clay,tropical,moderate,Mustard
sandy,arid,moderate,Cauliflower
clay,temperate,moderate,Potato
peaty,arid,cold,Tomato
loamy,arid,moderate,Barley
silty,subtropical,hot,Sunflower
loamy,arid,moderate,Barley
clay,temperate,moderate,Potato
clay,subtropical,moderate,Cotton
silty,arid,cold,Carrot
silty,temperate,moderate,Sugarcane
sandy,tropical,moderate,Tomato
clay,arid,hot,Coffee
silty,subtropical,hot,Sunflower
clay,subtropical,cold,Maize
peaty,subtropical,hot,Sorghum
peaty,arid,moderate,Potato
silty,subtropical,cold,Ginger
silty,temperate,hot,Groundnut
silty,tropical,moderate,Garlic
sandy,tropical,hot,Carrot
sandy,tropical,moderate,Tomato
sandy,subtropical,cold,Coffee
peaty,tropical,moderate,Coconut
peaty,tropical,hot,Lentil
sandy,tropical,hot,Carrot
silty,temperate,cold,Oats
loamy,subtropical,hot,Millet
loamy,subtropical,cold,Ginger
silty,temperate,moderate,Sugarcane
peaty,arid,moderate,Potato
peaty,tropical,moderate,Coconut
sandy,subtropical,hot,Banana
clay,tropical,moderate,Mustard
loamy,arid,hot,Mustard
sandy,subtropical,hot,Banana
silty,subtropical,cold,Ginger
loamy,temperate,cold,Soybean
silty,subtropical,hot,Sunflower
loamy,arid,cold,Soybean
clay,temperate,cold,Coconut
sandy,temperate,cold,Sorghum
silty,tropical,moderate,Garlic
peaty,temperate,hot,Turmeric
sandy,tropical,moderate,Tomato
silty,temperate,cold,Oats
clay,tropical,hot,Peas
sandy,subtropical,cold,Coffee
clay,temperate,hot,Mango
loamy,arid,moderate,Barley
clay,arid,moderate,Cabbage
sandy,temperate,cold,Sorghum
clay,tropical,moderate,Mustard
sandy,temperate,hot,Peas
sandy,subtropical,moderate,Chickpea
clay,arid,cold,Millet
sandy,arid,moderate,Cauliflower
peaty,arid,moderate,Potato
peaty,temperate,moderate,Oats
peaty,subtropical,moderate,Chickpea
peaty,subtropical,cold,Onion
clay,temperate,hot,Mango
peaty,tropical,moderate,Coconut
loamy,arid,hot,Mustard
loamy,temperate,hot,Garlic
silty,temperate,moderate,Sugarcane
clay,arid,cold,Millet
peaty,arid,hot,Lentil
clay,tropical,hot,Peas
clay,tropical,hot,Peas
silty,temperate,hot,Groundnut
peaty,subtropical,moderate,Chickpea
sandy,tropical,cold,Onion
peaty,arid,cold,Tomato
silty,arid,cold,Carrot
peaty,subtropical,moderate,Chickpea
peaty,tropical,cold,Grapes
silty,tropical,cold,Grapes
clay,tropical,moderate,Mustard
sandy,tropical,moderate,Tomato
silty,tropical,cold,Grapes
clay,tropical,cold,Mango
peaty,tropical,hot,Lentil
loamy,tropical,moderate,Banana
peaty,temperate,cold,Sunflower
clay,subtropical,cold,Maize
peaty,arid,moderate,Potato
clay,temperate,moderate,Cauliflower
silty,tropical,cold,Grapes
silty,temperate,hot,Groundnut
clay,subtropical,hot,Cabbage
peaty,tropical,moderate,Coconut
